Fund Name,Fund Ticker,1 Month,3 Month,6 Month,YTD,Since Inception Cumulative,1 Year,3 Year,5 Year,Since Inception Annualized,Date
FIS Knights of Columbus Global Belief ETF,KOCG NAV,1.58,6.21,8.94,19.02,16.07,31.43,6.46,-,4.74,09/30/2024
FIS Knights of Columbus Global Belief ETF,KOCG MKT,1.27,5.83,8.54,18.10,15.65,30.95,6.29,-,4.62,09/30/2024
FTSE All World Index - TR Net Tax,TAWNT01U,2.36,6.81,9.85,18.58,23.80,31.56,8.09,-,6.86,09/30/2024
MSCI ACWI Net Total Return Index  (USD),NDUEACWF,2.32,6.61,9.67,18.66,23.79,31.76,8.09,-,6.86,09/30/2024
FIS Christian Stock Fund,PRAY NAV,1.00,7.09,7.60,16.68,21.81,29.72,-,-,7.75,09/30/2024
FIS Christian Stock Fund,PRAY MKT,1.21,6.69,7.32,15.92,21.68,29.26,-,-,7.70,09/30/2024
MSCI THE WORLD INDEX Net (USD),NDDUWI,1.83,6.36,9.16,18.86,27.14,32.43,-,-,9.51,09/30/2024
S&P 500 TR,SPTR2,2.14,5.89,10.42,22.08,34.05,36.35,-,-,11.72,09/30/2024
